Gene Symbol	logFC	adj p-value
ENSG00000198938	-1.32556504090733	2.29502078852347e-40
ENSG00000198886	-1.20201214264948	2.05643028761392e-29
ENSG00000198899	-1.08656205143866	1.17780284859439e-27
ENSG00000198888	-1.72415331602311	1.96601991062502e-25
ENSG00000233041	-4.37462917714312	1.40851775788243e-18
ENSG00000198712	-0.909573305264429	3.14217154159939e-18
ENSG00000198786	-2.60640179508433	2.23728245204347e-17
ENSG00000162896	-2.74927947187763	2.98007409740612e-15
ENSG00000275395	-4.03122596545281	3.93508884929933e-14
ENSG00000170421	-1.98112651135965	1.61948574986713e-13
ENSG00000129167	-4.05422774423036	2.3546688117196e-14
ENSG00000162909	-2.02420535969123	6.31013103836832e-13
ENSG00000161016	1.0269037576542	7.351616489694e-13
ENSG00000198695	-3.25373407967211	1.46288103160539e-12
ENSG00000181061	-2.12262558843395	3.40732952973987e-12
ENSG00000198727	-1.5556242608523	8.19134522047085e-13
ENSG00000171747	-3.14146429536305	5.56688547146781e-12
ENSG00000282992	-3.14130736591326	5.56688547146781e-12
ENSG00000132465	-2.64050983041995	3.93308689962685e-12
ENSG00000163399	-1.41961436700454	5.56688547146781e-12
ENSG00000070756	0.845425246443288	6.15232019168768e-12
ENSG00000131981	-1.86461750898955	1.09461378238244e-11
ENSG00000272398	-2.07662921105712	1.52714046879444e-11
ENSG00000135916	-2.62600613785651	4.30902001012779e-11
ENSG00000136997	3.65456465247093	2.99652820038783e-11
ENSG00000163586	-5.12572440818571	8.15293083677683e-11
ENSG00000108821	3.22856632760284	8.83521289857594e-11
ENSG00000142089	2.07277934611849	1.02988924743586e-10
ENSG00000185885	2.6895204221591	1.0559317166032e-10
ENSG00000092841	-1.05783064238124	1.53806150860355e-10
ENSG00000198840	-1.47324974768454	1.33296201438499e-10
ENSG00000168542	1.79082858456913	4.16535781291653e-10
ENSG00000110955	-1.17709301886251	4.7920477213591e-10
ENSG00000198763	-0.640174803052324	9.51466156700085e-11
ENSG00000074410	-3.11733380851347	7.97169968350583e-10
ENSG00000137573	3.62888295722664	1.03067380430847e-09
ENSG00000136068	-1.57188485527913	2.21924894295049e-09
ENSG00000187498	3.22716747972648	1.93924956698319e-09
ENSG00000155850	-3.78796209118813	2.77643991953426e-09
ENSG00000124942	-1.45003249373553	7.49526225374114e-09
ENSG00000104419	-2.1935703201414	1.34221696048339e-08
ENSG00000173702	-1.82801108690148	1.20840625091516e-08
ENSG00000152558	1.40551306801517	1.47562949403554e-08
ENSG00000080493	-4.483499290746	9.10771876343539e-09
ENSG00000118680	-1.0666902466885	1.50400395795363e-08
ENSG00000013364	-1.72067223246671	1.58184042024154e-08
ENSG00000120708	2.40295822571402	2.74898381800277e-08
ENSG00000169764	-2.34771825554314	2.84900238126251e-08
ENSG00000173597	-2.01977730828221	3.60155757747536e-08
ENSG00000197956	-1.31517624861294	2.98277952096136e-08
ENSG00000187097	-2.22328881473585	3.86621754653955e-08
ENSG00000152234	-1.33321208665303	3.81337424859236e-08
ENSG00000140264	-0.949694680397122	4.22605991182201e-08
