Gene Symbol	logFC	adj p-value
ENSG00000062038	3.09611824062641	6.02577828350859e-17
ENSG00000115109	-1.72908680576517	2.88856897370364e-16
ENSG00000114654	-2.13791280112371	6.30645173920867e-16
ENSG00000059573	1.20241724850722	1.48077669138397e-14
ENSG00000182010	-4.73540264051064	1.72904240740876e-14
ENSG00000213853	-1.94866183993831	1.72904240740876e-14
ENSG00000035664	-1.98681865730911	1.72904240740876e-14
ENSG00000154065	-2.12445957561489	3.28739746606506e-14
ENSG00000124920	-2.94860760675042	4.31053830919514e-14
ENSG00000148671	-1.74649499775234	5.4815237461073e-14
ENSG00000150625	-2.81187263375681	8.51359990134304e-14
ENSG00000006016	2.93727604473923	1.05876537215886e-13
ENSG00000165810	-3.28290256993146	1.08075879354152e-13
ENSG00000170485	1.79852540814522	1.08075879354152e-13
ENSG00000145824	3.5343816101781	1.08075879354152e-13
ENSG00000173611	-1.26091549614882	5.3502618136668e-13
ENSG00000137673	4.2759876426646	6.0889962925394e-13
ENSG00000144218	-1.82196142806577	6.0889962925394e-13
ENSG00000115361	-2.11815730268487	6.30246415260935e-13
ENSG00000132386	1.82679672600085	6.30246415260935e-13
ENSG00000144867	1.15079578128922	6.30246415260935e-13
ENSG00000146072	1.3980331660418	6.30246415260935e-13
ENSG00000115641	2.30961745672239	6.30246415260935e-13
ENSG00000137486	-1.24817611334368	6.71297336378062e-13
ENSG00000099284	0.913686413322957	7.80298080608158e-13
ENSG00000053747	-1.62737524498929	1.09884425616955e-12
ENSG00000164647	2.6495719834531	1.19852339928631e-12
ENSG00000205795	-2.2159150130522	1.19852339928631e-12
ENSG00000114854	-2.46188452891505	1.35444762090503e-12
ENSG00000155660	1.12826355937042	2.23885909056097e-12
ENSG00000169252	-1.44977821420924	2.47713851029247e-12
ENSG00000176771	-2.55696177707328	2.64022212937936e-12
ENSG00000104267	-1.98957015142599	2.77121538647302e-12
ENSG00000160111	-1.40947842749586	2.80113958219474e-12
ENSG00000171509	-2.85139156242939	2.80113958219474e-12
ENSG00000189367	-2.09978000538672	3.10955000738369e-12
ENSG00000123119	-1.67177217611867	3.11660198570376e-12
ENSG00000169291	-1.08522054098466	3.68589545724277e-12
ENSG00000105974	-1.66808665383761	4.1987586873588e-12
ENSG00000070778	-1.44553168730385	4.67056384215729e-12
ENSG00000102934	-1.74407007959611	5.23180702129784e-12
ENSG00000123178	-1.20057301164126	5.7576626487484e-12
ENSG00000155511	-2.59895955288642	7.22799083704695e-12
ENSG00000277494	-2.69615841268573	7.78772012353524e-12
ENSG00000101331	-1.6830729624472	7.88500879197291e-12
ENSG00000084710	-1.67660428224985	7.88500879197291e-12
ENSG00000165312	-1.35743065122231	8.31949798329617e-12
ENSG00000176834	-1.31827922282294	9.36143564942126e-12
ENSG00000066027	-0.750790113176351	1.02230908939523e-11
ENSG00000115756	-1.36593576018756	1.16554280458052e-11
ENSG00000143416	-1.21544635402815	1.19964538211406e-11
ENSG00000243566	-2.78829125967544	1.19964538211406e-11
ENSG00000169583	-2.0795291916156	1.30960527720139e-11
ENSG00000169255	-1.46144374542056	1.45373700889228e-11
ENSG00000138772	-1.96360274973349	1.47307977424165e-11
ENSG00000037280	-1.22401152195671	1.5182895687393e-11
ENSG00000168542	3.12909652329896	1.68030380296692e-11
ENSG00000029993	1.63716403796798	1.89605487341639e-11
ENSG00000105339	-1.24053619393937	1.89605487341639e-11
ENSG00000112699	0.98326194938503	2.22708335594958e-11
ENSG00000187955	2.54797585791489	2.39418430601655e-11
ENSG00000150961	1.09094478026041	2.72874352160536e-11
ENSG00000029153	1.90691805351605	2.84113402065442e-11
ENSG00000142207	1.24144097956161	2.85389859682463e-11
ENSG00000114378	-1.5514223851646	2.93083160856861e-11
ENSG00000168067	-1.2646156743652	2.94496056653025e-11
ENSG00000166250	1.77160171244046	3.15970455954942e-11
ENSG00000133216	2.02889135427311	3.10595711212356e-11
ENSG00000101444	0.706409807394723	3.15970455954942e-11
ENSG00000196549	-2.13020547557287	3.15970455954942e-11
ENSG00000047365	-1.04380116318972	3.15970455954942e-11
ENSG00000135063	-2.30290966371612	3.20423149247581e-11
ENSG00000104369	-1.3150146345712	3.20423149247581e-11
ENSG00000157734	-2.04832024836568	3.20423149247581e-11
ENSG00000133135	-1.3412385246303	3.36340250083215e-11
ENSG00000136153	-1.30550429270269	3.36340250083215e-11
ENSG00000135049	-0.736535380226024	3.36340250083215e-11
ENSG00000149260	1.44654805827719	3.36340250083215e-11
ENSG00000106537	-1.1668388273847	3.36340250083215e-11
ENSG00000159640	-1.62649528205669	3.45507746775952e-11
ENSG00000183010	2.05309465054986	3.36340250083215e-11
ENSG00000133401	-1.41457319268407	3.48337602785079e-11
ENSG00000107130	2.06244792766587	3.87453376179712e-11
ENSG00000165757	-1.58455095151554	3.87453376179712e-11
ENSG00000184254	2.05032212744487	3.87453376179712e-11
ENSG00000177494	-2.62666973707031	3.87453376179712e-11
ENSG00000258545	-1.75472408088475	3.87453376179712e-11
ENSG00000146242	1.24051975285145	3.94037309165873e-11
ENSG00000283085	1.24051975285145	3.94037309165873e-11
ENSG00000119280	-1.19175143634108	4.12959164174927e-11
ENSG00000278843	-1.03488803788686	4.25436003357685e-11
ENSG00000110400	1.51704509162893	4.54880649527789e-11
ENSG00000169031	-2.26089932290255	4.61513319002328e-11
ENSG00000151718	-1.49893300725701	4.7056036099869e-11
ENSG00000233251	-1.3359198396499	4.8465447696202e-11
ENSG00000186088	-1.32578559573137	5.18404576050219e-11
ENSG00000115902	1.15533350142577	5.7760804288793e-11
ENSG00000033170	0.89859496849125	5.82294489023658e-11
ENSG00000181409	-2.05286817494328	5.82294489023658e-11
ENSG00000198856	0.710964331108631	5.82294489023658e-11
ENSG00000124440	-2.15812156226776	6.15231387358393e-11
ENSG00000204291	2.15814126754344	6.19076115830266e-11
ENSG00000198722	-0.946777135514359	6.26630581380606e-11
ENSG00000221866	2.71333875924316	6.97612034502536e-11
ENSG00000106688	-1.37845351494337	7.03329992283055e-11
ENSG00000182326	1.33200606649095	7.82503901481274e-11
ENSG00000163701	-1.17664318336577	7.93639054507033e-11
ENSG00000188001	-1.36934045863301	7.8914999630311e-11
ENSG00000154309	-1.4188978326603	8.74813545454308e-11
ENSG00000139597	-0.902523405712073	8.80360953214505e-11
ENSG00000151789	2.5349537721339	8.80360953214505e-11
ENSG00000128512	-1.03010813021874	9.1160847448478e-11
ENSG00000101230	1.89859885262878	9.58040845703252e-11
ENSG00000025423	-2.20735646958536	9.62377274634553e-11
ENSG00000175928	1.9443994474998	9.62377274634553e-11
ENSG00000178385	-0.904990739930633	9.91124308088363e-11
ENSG00000134115	-2.41803108168568	9.91124308088363e-11
ENSG00000206320	-3.43669392629627	1.0399354274061e-10
ENSG00000237405	-3.43606937512639	1.0399354274061e-10
ENSG00000229058	-3.43504560533019	1.0399354274061e-10
ENSG00000065054	-1.39980063587361	1.0399354274061e-10
ENSG00000132376	-0.824450818721563	1.0399354274061e-10
ENSG00000234729	-3.42372842406518	1.0785446421184e-10
ENSG00000196154	-1.16434385030717	1.0847275821816e-10
ENSG00000092421	-1.75592810448707	1.10392078379684e-10
ENSG00000114790	-1.61986323888369	1.13517439659188e-10
ENSG00000220205	-0.6318671604627	1.13608876464221e-10
ENSG00000073849	1.37251108344776	1.14993518901544e-10
ENSG00000159433	-1.5216748069995	1.14993518901544e-10
